Date,Close,MA50,MA200,Volatility
2019-04-02,3200.0,2859.78,3249.125,160.78422751032426
2019-04-03,3195.0,2880.02,3238.6,147.611232167707
2019-04-04,3150.0,2899.82,3229.8,132.82412535327225
2019-04-05,3140.0,2920.56,3221.45,123.22346768576774
2019-04-08,3215.0,2940.86,3214.775,122.69671046372999
2019-04-09,3335.0,2961.3,3210.1,123.76342374656157
2019-04-10,3325.0,2982.08,3204.0,125.01091906332488
2019-04-11,3280.0,3002.2,3196.85,121.0685186450063
2019-04-12,3200.0,3023.28,3189.475,119.68589158158049
2019-04-15,3375.0,3044.76,3183.675,122.06614468459547
2019-04-16,3420.0,3065.36,3178.075,125.68216161065224
2019-04-17,3380.0,3085.86,3172.775,127.07010012126086
2019-04-18,3245.0,3104.9,3167.025,123.39416797261876
2019-04-19,3195.0,3123.86,3161.55,122.78380214411509
2019-04-22,3150.0,3140.42,3156.175,121.35963463829277
2019-04-23,3140.0,3154.12,3149.625,120.31340778131798
2019-04-24,3275.0,3169.1,3143.225,120.26120995852875
2019-04-25,3410.0,3184.88,3137.925,117.04503505012384
2019-04-26,3435.0,3196.94,3132.8,113.36658572357351
2019-05-07,3480.0,3209.72,3128.15,112.58317487248014
2019-05-08,3450.0,3221.82,3123.35,114.57179147721511
2019-05-09,3430.0,3233.64,3118.875,112.49061263516204
2019-05-10,3230.0,3241.36,3113.075,108.33961078187149
2019-05-13,3015.0,3243.1,3105.175,119.21004354817686
2019-05-14,2864.0,3237.48,3095.495,141.6139685622631
2019-05-15,2969.0,3230.86,3086.165,150.74520255037527
2019-05-16,2960.0,3224.56,3077.24,158.60206837224317
2019-05-17,2962.0,3223.1,3068.175,164.6574465751348
2019-05-20,2923.0,3219.16,3059.99,171.25639848773014
2019-05-21,2889.0,3213.94,3051.01,181.1960930537156
2019-05-22,2932.0,3205.98,3042.07,188.07490865175916
2019-05-23,2838.0,3195.94,3032.71,199.2940875523734
2019-05-24,2779.0,3183.62,3023.48,212.73119674595284
2019-05-27,2867.0,3174.96,3014.99,219.98222498725804
2019-05-28,3040.0,3173.76,3007.19,220.94525509077184
2019-05-29,3100.0,3173.66,3000.165,218.67247328987813
2019-05-30,3050.0,3171.06,2992.415,216.92437635607277
2019-05-31,3200.0,3174.86,2985.315,215.66726447357996
2019-06-03,3135.0,3177.36,2977.315,215.37104043364582
2019-06-04,2926.0,3175.08,2970.82,213.92481491585187
2019-06-05,3050.0,3173.08,2966.495,206.75514142518202
2019-06-06,2912.0,3169.22,2961.73,203.35792860480433
2019-06-07,2793.0,3162.68,2956.795,208.5419801173479
2019-06-10,2915.0,3156.68,2952.395,209.4797304544388
2019-06-11,3050.0,3153.78,2948.47,208.96826190299473
2019-06-12,3140.0,3148.68,2945.52,208.96826190299473
2019-06-13,3060.0,3141.98,2942.245,205.25320499548727
2019-06-14,3060.0,3135.28,2939.22,194.33773185613876
2019-06-17,2994.0,3127.16,2936.79,180.26067012912802
2019-06-18,2982.0,3121.2,2934.0,159.4832351654888
2019-06-19,3060.0,3118.4,2931.325,137.3432858239513
2019-06-20,3030.0,3115.1,2928.925,111.57681236471728
2019-06-21,2858.0,3109.26,2925.49,104.52905332253722
2019-06-24,2901.0,3104.48,2922.095,105.22372989650873
2019-06-25,2900.0,3098.18,2918.095,104.1179978258536
2019-06-26,2800.0,3087.48,2913.845,108.95978378630676
2019-06-27,2882.0,3078.62,2909.53,110.13584088876773
2019-06-28,2858.0,3070.18,2905.37,111.94017285519385
2019-07-01,2940.0,3064.98,2903.195,111.76766233946064
2019-07-02,2929.0,3056.06,2901.665,111.0698703157347
2019-07-03,2868.0,3045.02,2900.23,112.35330665913435
2019-07-04,2905.0,3035.52,2898.855,110.41355905407909
2019-07-05,2926.0,3029.14,2897.785,104.94907905933427
2019-07-08,2885.0,3022.94,2896.835,104.38373612692826
2019-07-09,2897.0,3017.88,2895.945,104.41915973393166
2019-07-10,2862.0,3012.32,2894.88,102.98675285864653
2019-07-11,2832.0,3003.46,2892.965,104.02530638174649
2019-07-12,2808.0,2991.42,2889.43,96.07202757701523
2019-07-16,2814.0,2979.0,2885.8,91.19564039791801
2019-07-17,2826.0,2965.92,2882.68,93.07567678612699
2019-07-18,2678.0,2950.48,2878.82,100.28892170171216
2019-07-19,2791.0,2937.7,2875.125,102.70000951325754
2019-07-22,2821.0,2929.52,2870.98,101.74035015948644
2019-07-23,2791.0,2925.04,2866.46,103.98505639765358
2019-07-24,2814.0,2924.04,2861.755,101.52999669991759
2019-07-25,2855.0,2921.76,2857.98,90.7796435229901
2019-07-26,2887.0,2920.3,2854.79,84.74236818450079
2019-07-29,2884.0,2918.74,2850.71,77.78703612110446
2019-07-30,2918.0,2918.64,2846.8,74.99682751911114
2019-07-31,2931.0,2919.48,2843.855,73.00172411757278
2019-08-01,2957.0,2919.98,2841.04,65.91893314615098
2019-08-02,2939.0,2922.0,2839.26,60.05266845449952
2019-08-05,2902.0,2924.46,2837.42,60.40618260204839
2019-08-06,2855.0,2924.22,2835.97,60.08848838822544
2019-08-07,2882.0,2921.06,2834.105,59.81793257436737
2019-08-08,2951.0,2918.08,2833.06,60.546135159553316
2019-08-09,2693.0,2910.94,2830.875,68.51939066098022
2019-08-13,2420.0,2895.34,2827.0,106.06509062022343
2019-08-14,2558.0,2883.8,2824.04,117.08396142507686
2019-08-15,2515.0,2875.58,2821.04,129.48201401748204
2019-08-16,2492.0,2864.42,2818.025,142.4416355572708
2019-08-19,2561.0,2857.4,2815.405,148.22840793701033
2019-08-20,2530.0,2852.14,2812.655,153.97301226431753
2019-08-21,2530.0,2844.44,2810.965,159.5601137034505
2019-08-22,2560.0,2834.64,2809.595,162.37681803288106
2019-08-23,2580.0,2823.44,2809.07,164.53041852706235
2019-08-26,2535.0,2812.94,2807.745,168.47011399754413
2019-08-27,2371.0,2799.16,2805.32,181.04361892655518
2019-08-28,2472.0,2788.72,2803.225,186.1396367456885
2019-08-29,2451.0,2778.1,2800.655,191.0680928149827
2019-08-30,2485.0,2766.6,2797.98,195.18322956506566
2019-09-02,2588.0,2757.76,2795.87,195.3558968569479
2019-09-03,2567.0,2751.94,2793.555,195.02833274863818
2019-09-04,2532.0,2744.56,2791.235,195.78931028784342
2019-09-05,2640.0,2739.36,2788.86,194.063530893853
